,id,year,movie,production_budget,domestic_gross,total_gross,profitability
1039,40,2003,Gods and Generals,55000000,12882934,12923936,0.23498065454545455
4225,26,2003,Wonderland,5500000,1060512,1060512,0.19282036363636362
3102,3,2003,Dark Blue,15000000,9237470,12262065,0.817471
3107,8,2003,Boat Trip,15000000,8586376,14933713,0.9955808666666667
949,50,2003,Beyond Borders,60000000,4426297,11427090,0.1904515
4324,25,2003,Les invasions barbares,5000000,8460000,25913869,5.1827738
1969,70,2003,Alex & Emma,30000000,14208384,15358583,0.5119527666666667
3130,31,2003,The Company,15000000,2281585,3396508,0.22643386666666668
2072,73,2003,Winged Migration,28000000,11689053,39134983,1.3976779642857142
1622,23,2003,Head of State,35200000,37788228,38283765,1.0876069602272727
3995,96,2003,Darkness Falls,7000000,32539681,47289758,6.755679714285714
3503,4,2003,The Guru,11000000,3051221,24150550,2.1955045454545457
853,54,2003,The Italian Job,60000000,106126012,176262839,2.9377139833333334
918,19,2003,Intolerable Cruelty,60000000,35327628,121327628,2.0221271333333335
3039,40,2003,Malibu's Most Wanted,15000000,34308901,34499204,2.2999469333333336
4372,73,2003,Tycoon,5000000,121016,121016,0.0242032
4502,3,2003,The Cooler,4000000,8291572,11131455,2.78286375
3091,92,2003,Confidence,15000000,12212417,12212417,0.8141611333333333
4442,43,2003,Spun,4500000,410241,1022649,0.22725533333333334
1993,94,2003,The Good Thief,30000000,3517797,6460758,0.2153586
4478,79,2003,Lost in Translation,4000000,44585453,117085297,29.27132425
4464,65,2003,Whale Rider,4300000,20779666,39374600,9.156883720930233
4447,48,2003,Lilja 4-ever,4500000,181655,4556982,1.0126626666666667
810,11,2003,The Missing,65000000,26900336,38253433,0.5885143538461538
877,78,2003,Kangaroo Jack,60000000,66723216,90723216,1.5120536
794,95,2003,Mona Lisa Smile,65000000,63803100,141205169,2.1723872153846155
2018,19,2003,Once Upon a Time in Mexico,29000000,56330657,97413527,3.3590871379310343
